"date","candidate","name","sources","isretweeted","text","length","favorites","retweets","iseconomy","isstimulus","istax","iscovid","isfakenews","isracist","isenvironment","isrussia","issecurity"
2020-10-24 23:59:58,"Biden","a_blaack_girl","Android",NA,"increase corporate power, leave 62K+ Americans dying each year and 500K+ in medical bankruptcy because #ACA was a g… https://t.co/n30mYnHSZW",140,2,1,0,0,0,0,0,0,0,0,0
2020-10-24 23:59:56,"Biden","KaizenClaude","Web",NA,"Jonathan Turley: NBC analyst says Trump supporters have lizard brains https://t.co/FbaTq95nSF #FoxNews #MediaBias… https://t.co/RnKs04sr8b",138,0,0,0,0,0,0,0,0,0,0,0
2020-10-24 23:59:56,"Biden","Ca55aday","iPhone",NA,"What makes a great day of canvassing even better - if I can get a stray cat to follow me through 2-3 door knocks.… https://t.co/twxMNz4RdB",138,5,0,0,0,0,0,0,0,0,0,0
2020-10-24 23:59:13,"Biden","4Tchat","Web",NA,".@JoeBiden .@KamalaHarris #Biden2020 #VoteBidenHarris2020<U+0001F1FA><U+0001F1F8> #LegalizeIt<U+0001F331> #BidenHarris2020Landslide… https://t.co/E05VsWmQGh",123,0,1,0,0,0,0,0,0,0,0,0
2020-10-24 23:59:06,"Biden","Hkevoefeldman","iPhone",NA,"@realDonaldTrump I voted! #BidenHarrisLandslide2020 #BidenHarris2020 #Biden2020",79,0,0,0,0,0,0,0,0,0,0,0
2020-10-24 23:58:54,"Biden","SickWidIttt2211","iPhone",NA,"#VoterFraud #VoteRed #VoteEarlyDay #ArmyGoingToJailParty #2020PresidentialDebate #Biden2020 #TrumpLandslide2020… https://t.co/6qZz0qpch3",136,0,0,0,0,0,0,0,0,0,0,0
2020-10-24 23:58:40,"Biden","hadougan","iPad",TRUE,"@blaze0497: My first thought was why was he ever allowed back in public office. Secondly, is who else thinks he learned his lesson and w…",140,0,327,0,0,0,0,0,0,0,0,0
2020-10-24 23:58:15,"Biden","wordsanddeeds2","Web",NA,"@NancySinatra Trump always has time for his tanning bed, doesn't he?
#Biden2020  #ByeDon2020",92,0,0,0,0,0,0,0,0,0,0,0
2020-10-24 23:58:14,"Biden","4Tchat","others",TRUE,"@4Tchat: .@JoeBiden .@KamalaHarris #Biden2020 #VoteBidenHarris2020<U+0001F1FA><U+0001F1F8> #LegalizeIt<U+0001F331> #BidenHarris2020Landslide
#NorthCarolinaForBiden<U+0001F1FA><U+0001F1F8> #Ne…",140,0,1,0,0,0,0,0,0,0,0,0
2020-10-24 23:57:58,"Biden","katniss018","Android",NA,"I just saw a rally that Trump did today &amp; he said as of 10/3, we will not be hearing COVID, COVID, COVID ANYMORE &amp;… https://t.co/X9cZtTcKD7",147,1,0,0,0,0,0,0,0,0,0,0
2020-10-24 23:57:57,"Biden","tryobectivity","Web",TRUE,"@tryobectivity: yep.

they marxists have invaded.  

they've populated in our schools/university years (decades).

they want equal oppor…",140,0,2,0,0,0,0,0,0,0,0,0
2020-10-24 23:57:50,"Biden","AmyWantsBetter","Android",NA,"#BidenCares
#Biden2020 https://t.co/IDP85vWB2L",46,1,0,0,0,0,0,0,0,0,0,0
2020-10-24 23:57:47,"Biden","CommonEnemyInc","iPhone",NA,"Grandpa Hank isn’t messing around. #VoteEarlyDay #Biden2020 https://t.co/FpL4k9com3",83,9,0,0,0,0,0,0,0,0,0,0
2020-10-24 23:57:42,"Biden","Irunforacure","iPhone",NA,"@realDonaldTrump I will, by voting #Biden2020",45,0,0,0,0,0,0,0,0,0,0,0
2020-10-24 23:57:31,"Biden","Oxforduk23","Web",NA,"BRAVO!!! #TrumpIsANationalDisgrace #Biden2020 https://t.co/NTmEYUa4Q6",69,0,0,0,0,0,0,0,0,0,0,0
2020-10-24 23:57:18,"Biden","KitschyMs","iPhone",NA,"#TheBigGuy #Biden2020 #ChinaJoeBiden https://t.co/AzsQJpsXas",60,0,0,0,0,0,0,0,0,0,0,0
2020-10-24 23:57:15,"Biden","Atheism_Has_Nil","iPhone",TRUE,"@blaze0497: My first thought was why was he ever allowed back in public office. Secondly, is who else thinks he learned his lesson and w…",140,0,327,0,0,0,0,0,0,0,0,0
2020-10-24 23:56:58,"Biden","Atticus06100429","Web",NA,"Thank you very much @JoeBiden for working hard on behalf of our senior citizens and protecting social security!… https://t.co/rVU0EPEdzu",136,0,0,0,0,0,0,0,0,0,0,1
2020-10-24 23:56:43,"Biden","4Tchat","Web",NA,".@JoeBiden .@KamalaHarris #Biden2020 #VoteBidenHarris2020<U+0001F1FA><U+0001F1F8> #LegalizeIt<U+0001F331> #BidenHarris2020Landslide… https://t.co/IUGdzCMiaS",123,0,1,0,0,0,0,0,0,0,0,0
2020-10-24 23:56:28,"Biden","SlurpeeGirl_","Android",TRUE,"@Carlos214Carlos: #RudyGiuliani #RudyThePedo #BoratSubsequentMoviefilm #Borat2 #Borat #Biden2020 #BidenHarris2020 #DonaldTrumpJr #BidenH…",140,0,1,0,0,0,0,0,0,0,0,0
2020-10-24 23:56:17,"Biden","Yvetteinsc","Android",NA,"It's happening! People are coming out of the wonder work to vote for #Biden2020 I've heard stories like this from a… https://t.co/mx4J5EGhP9",140,0,0,0,0,0,0,0,0,0,0,0
2020-10-24 23:55:55,"Biden","JessVOTES","Android",TRUE,"@krupali: Saturday’s in the neighborhood: fired UP, and ready for JOE! 
#biden2020 #vote #VoteEarly https://t.co/faYUg0CyzZ",126,0,35,0,0,0,0,0,0,0,0,0
2020-10-24 23:55:54,"Biden","AngelaTassoni","Web",NA,"FABULOUS! #BarackObama #BidenHarrisLandslide2020 #BidenHarrisToSaveAmerica #Biden2020 @nytimes @CNN @washingtonpost… https://t.co/mI1YSkBmJN",140,2,0,0,0,0,0,0,0,0,0,0
2020-10-24 23:55:37,"Biden","LlcParabolic","iPhone",TRUE,"@D4V1L0p3sB03n0: Um site chinês está publicando videos de #HunterBiden fumando crack e fazendo #sexo.

#TRUMP2020ToSaveAmerica #Biden202…",140,0,4,0,0,0,0,0,0,0,0,0
2020-10-24 23:55:31,"Biden","Cortinas98","iPhone",TRUE,"@blaze0497: My first thought was why was he ever allowed back in public office. Secondly, is who else thinks he learned his lesson and w…",140,0,327,0,0,0,0,0,0,0,0,0
2020-10-24 23:54:43,"Biden","4Tchat","Web",NA,".@JoeBiden .@KamalaHarris #Biden2020 #VoteBidenHarris2020<U+0001F1FA><U+0001F1F8> #LegalizeIt<U+0001F331> #BidenHarris2020Landslide… https://t.co/yfwnP4OYFT",123,0,1,0,0,0,0,0,0,0,0,0
2020-10-24 23:54:43,"Biden","wordsanddeeds2","Web",NA,"@MediciSusan It's so him.  I'll be glad when we wake up in the morning without this...   #Biden2020   #ByeDon2020",113,1,0,0,0,0,0,0,0,0,0,0
2020-10-24 23:54:28,"Biden","AlstonCeleste","iPhone",TRUE,"@murray_nyc: In March of this year I became a citizen of the USA and just now in New York City I cast my first ever vote in a presidenti…",140,0,30,0,0,0,0,0,0,0,0,0
2020-10-24 23:54:15,"Biden","JerrySchram","iPhone",TRUE,"@axidentaliberal: We will VOTE for #healthcare
We will VOTE for our #climate
We will VOTE to defeat #COVID
We will VOTE for the economy…",139,0,123,1,0,0,0,0,0,0,0,0
2020-10-24 23:54:02,"Biden","Morty_Fied","Web",NA,"Spreading viruses and hate in the same breath. https://t.co/UOklTbMogu

#BidenHarris2020 #BidenTownHall #Biden2020",114,3,0,0,0,0,0,0,0,0,0,0
2020-10-24 23:53:48,"Biden","quetevalgah","iPhone",NA,"#JoeBiden #JoeBidenKnew #KamalaHarris #IChooseAmerica #JoeBidensNeighborhood #BidenHarris2020 #EndTheChaos… https://t.co/h29TXGPIoL",131,0,0,0,0,0,0,0,0,0,0,0
2020-10-24 23:53:44,"Biden","Bill_Gro","Web",NA,"@realDonaldTrump YES!  #Biden2020",33,0,0,0,0,0,0,0,0,0,0,0
2020-10-24 23:53:25,"Biden","4Tchat","others",TRUE,"@4Tchat: .@JoeBiden .@KamalaHarris #Biden2020 #VoteBidenHarris2020<U+0001F1FA><U+0001F1F8> #LegalizeIt<U+0001F331> #BidenHarris2020Landslide
#NorthCarolinaForBiden<U+0001F1FA><U+0001F1F8> #Ne…",140,0,2,0,0,0,0,0,0,0,0,0
2020-10-24 23:53:24,"Biden","Atticus06100429","Web",NA,"@jonathanjewel happy to tweet @DanSullivan_AK 
Dan =  #CorruptAndComplicitGOP 
Millions of Americans say any DAN'S… https://t.co/DoZn4wgDci",139,1,0,0,0,0,0,0,0,0,0,0
2020-10-24 23:52:48,"Biden","bruce_southside","Android",NA,"""A blessing to the #usa and the world"".
#Biden2020
@matthewsyed
Jesus Mary and Joseph 
Ping pong lad taking the piss.",117,0,0,0,0,0,0,0,0,0,0,0
2020-10-24 23:52:36,"Biden","cathid4","Web",TRUE,"@genemarks: If @JoeBiden is elected, I’m expecting to see a significant increase in the number of existing #SmallBusiness owners who dec…",140,0,2,0,0,0,0,0,0,0,0,0
2020-10-24 23:52:33,"Biden","4Tchat","Web",NA,".@JoeBiden .@KamalaHarris #Biden2020 #VoteBidenHarris2020<U+0001F1FA><U+0001F1F8> #LegalizeIt<U+0001F331> #BidenHarris2020Landslide… https://t.co/WY3MaRIXIR",123,2,2,0,0,0,0,0,0,0,0,0
2020-10-24 23:51:55,"Biden","mhawk1220","Android",NA,"There is no doubt @lisamurkowski is no friend to the future of America.    The Republican party has learned nothing… https://t.co/6wHsA2Q8Al",140,1,0,0,0,0,0,0,0,0,0,0
2020-10-24 23:51:22,"Biden","TheDawnPaladin","iPhone",NA,"@Negronomics @RVDSZN @WWEREALONE @game_end_me23 @The_MJF @SpookiestHeel But anyways, #BIDEN2020",95,0,0,0,0,0,0,0,0,0,0,0
2020-10-24 23:50:41,"Biden","THCPetDoctor","iPhone",NA,"Trump Lied - 220,000 Died!  Anti-Trump? PLEASE VOTE #MakeAmericaUnitedAgain #vetsforscience #FTrumpS #OperationMAGA… https://t.co/HH7JYvIcLZ",140,0,1,0,0,0,0,0,0,0,0,0
2020-10-24 23:50:10,"Biden","ElizabethfromN2","Web",NA,"@DonaldJTrumpJr Joe biden supports us ALL. Red, blue and every shade in between!
#VoteBlueToSaveAmerica
 #Biden2020 https://t.co/iHzz4LLWKz",139,0,0,0,0,0,0,0,0,0,0,0
2020-10-24 23:49:56,"Biden","4Tchat","others",TRUE,"@4Tchat: .@JoeBiden .@KamalaHarris #Biden2020 #VoteBidenHarris2020<U+0001F1FA><U+0001F1F8> #LegalizeIt<U+0001F331> #BidenHarris2020Landslide
#NorthCarolinaForBiden<U+0001F1FA><U+0001F1F8> #Ne…",140,0,2,0,0,0,0,0,0,0,0,0
2020-10-24 23:49:49,"Biden","screenwriterabc","iPhone",NA,"@realdonaldtrump ...is <U+0001F480> to me. #Biden2020 #TrumpVirusDeathToll225K @potus @gop @FLOTUS #FuckTrump",98,1,0,0,0,0,1,0,0,0,0,0
2020-10-24 23:49:45,"Biden","4Tchat","Web",NA,".@JoeBiden .@KamalaHarris #Biden2020 #VoteBidenHarris2020<U+0001F1FA><U+0001F1F8> #LegalizeIt<U+0001F331> #BidenHarris2020Landslide… https://t.co/o2xTumCHMx",123,3,2,0,0,0,0,0,0,0,0,0
2020-10-24 23:48:54,"Biden","dilio_bianchi","iPad",TRUE,"@LorenzoL65: #Biden2020 Giornali australiani. Titoli che in Italia non vedrete mai.
#Trump2020 #nolockdowns https://t.co/LKgS1xRoNw",134,0,38,0,0,0,0,0,0,0,0,0
2020-10-24 23:48:36,"Biden","Tuiteroactivo23","Android",TRUE,"@MarivoneLula: #Biden2020 <U+0001F1FA><U+0001F1F8> &lt; FORA DONALD <U+0001F400>TRUMP &gt;  Barack Obama diz que Casa Branca errou em demasia na gestão da pandemia <U+0001F44D><U+0001F3FF><U+0001F44F><U+0001F3FF><U+0001F44F><U+0001F3FF><U+0001F44F><U+0001F3FF>***…",146,0,6,0,0,0,0,0,0,0,0,0
2020-10-24 23:48:32,"Biden","thegregorycole","iPhone",NA,"@realDonaldTrump Hey people of Ohio, don’t you remember when he mocked a disabled-American? I’ve been to #Ohio many… https://t.co/hcqmDRqe6y",140,0,0,0,0,0,0,0,0,0,0,0
2020-10-24 23:48:21,"Biden","IamLucyRicardo","Android",NA,"@realDonaldTrump
@FLOTUS is no dummy! #Biden2020 https://t.co/Mf2aZnpCDU",72,0,0,0,0,0,0,0,0,0,0,0
2020-10-24 23:48:02,"Biden","dowd_lauren","Web",TRUE,"@axidentaliberal: We will VOTE for #healthcare
We will VOTE for our #climate
We will VOTE to defeat #COVID
We will VOTE for the economy…",139,0,123,1,0,0,0,0,0,0,0,0
2020-10-24 23:47:59,"Biden","IndGreenParty","iPhone",TRUE,"@ChipTerry1: The #BidenHarrisLandslide2020 movement is a #GOPSuperSpreaders event in disguise. No #healthcare, no end of #Fracking, no r…",140,0,1,0,0,0,0,0,0,0,0,0
2020-10-24 23:47:48,"Biden","ChucksWife1973","Android",TRUE,"@blaze0497: My first thought was why was he ever allowed back in public office. Secondly, is who else thinks he learned his lesson and w…",140,0,327,0,0,0,0,0,0,0,0,0
2020-10-24 23:47:46,"Biden","DanaLeaB1","iPhone",TRUE,"@garquake: Twitters moderators about now #Hunterbidenlaptop #Biden2020 #TrumpLandslide2020 https://t.co/0FtOVVQspv",117,0,2,0,0,0,0,0,0,0,0,0
2020-10-24 23:47:44,"Biden","empkqsf3XmyTW9I","Web",TRUE,"@IndigenousDancy: @OliviaTroye @carol_33410 .@realDonaldTrump holds the most powerful position in the WORLD! Yet the Depts. he controls-…",140,0,55,0,0,0,0,0,0,0,0,0
2020-10-24 23:47:24,"Biden","CmdrJonty","Web",NA,"#Biden2020 https://t.co/4FL5ItbnqA",34,0,0,0,0,0,0,0,0,0,0,0
2020-10-24 23:47:14,"Biden","ChipTerry1","Android",NA,"The #BidenHarrisLandslide2020 movement is a #GOPSuperSpreaders event in disguise. No #healthcare, no end of… https://t.co/wcDNWSE5IA",132,2,1,0,0,0,0,0,0,0,0,0
2020-10-24 23:47:13,"Biden","bearseatbeet","iPhone",NA,"#Biden2020 for the #Win #BidenHarrisLandslide2020 https://t.co/1f2KRSciza",73,0,0,0,0,0,0,0,0,0,0,0
2020-10-24 23:47:11,"Biden","yingling0216","iPhone",NA,"#BidenHarrisLandslide2020 #BidenHarris2020 #Biden2020 https://t.co/OEP7jTXMOb",77,0,0,0,0,0,0,0,0,0,0,0
