"date","candidate","name","sources","isretweeted","text","length","favorites","retweets"
2020-10-29 23:59:57,"Biden","jtkirklin","iPhone",TRUE,"@NathanWyburnArt: My @JoeBiden portrait created by stamping the word VOTE! <U+0001F1FA><U+0001F1F8> 

#Biden #BidenHarris2020 
#Biden2020 #usa<U+0001F1FA><U+0001F1F8> #American #PO…",140,0,1261
2020-10-29 23:59:56,"Biden","MVPDaHardwareV1","Web",TRUE,"@Tim__OZman: NO LIL' WAYNE! IF YOU VOTE TRUMP, @chelseahandler  WILL TRY TO F___ YOU!    #biden2020 https://t.co/8wpETWSC6H",126,0,3
2020-10-29 23:59:43,"Biden","Leslier74300823","Android",NA,"Want to thank all the Republicans that are voting Country over party and are supporting Biden #BidenHarris2020 
#Biden2020",122,0,0
2020-10-29 23:59:37,"Biden","giannella_nyc","Web",TRUE,"@DebraMessing: #Biden2020 https://t.co/nliby9G56O",52,0,149
2020-10-29 23:59:21,"Biden","RalphBr97911949","others",TRUE,"@NathanWyburnArt: My @JoeBiden portrait created by stamping the word VOTE! <U+0001F1FA><U+0001F1F8> 

#Biden #BidenHarris2020 
#Biden2020 #usa<U+0001F1FA><U+0001F1F8> #American #PO…",140,0,1261
2020-10-29 23:59:21,"Biden","thesepeoplearef","iPhone",TRUE,"@NathanWyburnArt: My @JoeBiden portrait created by stamping the word VOTE! <U+0001F1FA><U+0001F1F8> 

#Biden #BidenHarris2020 
#Biden2020 #usa<U+0001F1FA><U+0001F1F8> #American #PO…",140,0,1261
2020-10-29 23:59:18,"Biden","thetina_marie","iPhone",NA,"@chuckwoolery I can’t think of one reason why anyone gives a crap what you think. Delete your account again. Litera… https://t.co/eWmoFUnwVz",140,0,0
2020-10-29 23:59:12,"Biden","MC_Kennedyo","Android",TRUE,"@JBKSchlossberg: Honored to speak @DemConvention !! LFG !! #Biden2020 https://t.co/3vN3wNbMJQ",96,0,3559
2020-10-29 23:59:05,"Biden","Mds97402","iPad",TRUE,"@NathanWyburnArt: My @JoeBiden portrait created by stamping the word VOTE! <U+0001F1FA><U+0001F1F8> 

#Biden #BidenHarris2020 
#Biden2020 #usa<U+0001F1FA><U+0001F1F8> #American #PO…",140,0,1261
2020-10-29 23:58:54,"Biden","JohnnyBoy_562","iPhone",TRUE,"@NathanWyburnArt: My @JoeBiden portrait created by stamping the word VOTE! <U+0001F1FA><U+0001F1F8> 

#Biden #BidenHarris2020 
#Biden2020 #usa<U+0001F1FA><U+0001F1F8> #American #PO…",140,0,1261
2020-10-29 23:58:53,"Biden","PaulReveal1","Android",TRUE,"@DebraMessing: #Biden2020 https://t.co/nliby9G56O",52,0,149
2020-10-29 23:58:39,"Biden","CCPlamp","Android",TRUE,"@NathanWyburnArt: My @JoeBiden portrait created by stamping the word VOTE! <U+0001F1FA><U+0001F1F8> 

#Biden #BidenHarris2020 
#Biden2020 #usa<U+0001F1FA><U+0001F1F8> #American #PO…",140,0,1261
2020-10-29 23:58:37,"Biden","chrisglass","iPhone",TRUE,"@NathanWyburnArt: My @JoeBiden portrait created by stamping the word VOTE! <U+0001F1FA><U+0001F1F8> 

#Biden #BidenHarris2020 
#Biden2020 #usa<U+0001F1FA><U+0001F1F8> #American #PO…",140,0,1261
2020-10-29 23:58:35,"Biden","LauraM_1973","iPhone",NA,"@JoeBiden vs @realDonaldTrump NO COMPARISON #JoeBiden #Vote #VoteBidenHarris2020 #VoteAgainstTrump #Biden2020 https://t.co/GVDjh7J5Jm",133,1,0
2020-10-29 23:58:11,"Biden","juliabthomas_","iPhone",TRUE,"@DebraMessing: #Biden2020 https://t.co/nliby9G56O",52,0,149
2020-10-29 23:58:11,"Biden","islanddreamsalb","Android",TRUE,"@DebraMessing: #Biden2020 https://t.co/nliby9G56O",52,0,149
