"date","candidate","name","sources","isretweeted","text","length","favorites","retweets"
2020-10-29 23:59:55,"Biden","YanikaAnne","iPhone",TRUE,"@MyTinyMessages: We have 1 more day left for early voting! If you don’t go today or tomorrow, y’all better show out on Nov 3rd! Go vote!…",140,0,1
2020-10-29 23:59:55,"Biden","panamafelix0412","Android",TRUE,"@HispanicFed: Atención #Florida: ¡Usted tiene derecho a solicitar una boleta en español en su lugar de votación! 

No deje que el idioma…",140,0,191
2020-10-29 23:59:53,"Biden","SheldonLynette","iPhone",TRUE,"@FaceTheNation: #SCOTUS AND THE VOTE: The Supreme Court issued its latest rulings on #MailInBallots which could have an impact on #Elect…",140,0,12
2020-10-29 23:59:51,"Biden","helloimAL","iPhone",TRUE,"@KTVU: Contra Costa County election officials say they've identified at least 40 ballots that have been lost after they were dropped off…",140,0,8
2020-10-29 23:59:47,"Biden","jendarra","iPhone",TRUE,"@Grav1: In a pre-election precautionary move, Walmart removes guns, ammo from its shelves ahead of Nov. 3 election. They're still availa…",140,0,196
2020-10-29 23:59:46,"Biden","BeefsnBeans","iPhone",NA,"Just another #pathetic .@dougducey led decision I am sure. #Arizona #vote #Election2020 #DuceyFailedAz https://t.co/RIEsRWfMyF",126,0,0
2020-10-29 23:59:45,"Biden","marybaker783","Android",TRUE,"@WSJ: Election Day is almost here! 

<U+2764><U+FE0F>  this tweet to be reminded that https://t.co/ArIO60ohwU will be free to read on November 3rd, th…",140,0,2908
2020-10-29 23:59:40,"Biden","Bruhmomento26","Web",TRUE,"@Dispropoganda: #Trump #Biden #Elections #election2020 #bidenharris2020 #trump2020 #Maga #USA #America https://t.co/0Luc12mzF7",129,0,21
2020-10-29 23:59:35,"Biden","ygadishakti","Android",TRUE,"@Reuters: #Election2020: U.S. Catholics are divided over the presidential race <U+0001F447> https://t.co/TXpeDss6mm",107,0,21
2020-10-29 23:59:33,"Biden","BudGothmog44","iPad",TRUE,"@Grav1: In a pre-election precautionary move, Walmart removes guns, ammo from its shelves ahead of Nov. 3 election. They're still availa…",140,0,196
2020-10-29 23:59:30,"Biden","Speedy2DaNeedy","Android",TRUE,"@JorgeVasquezNYC: When @adv_project &amp; @latinojustice are on the front lines in Florida protecting access to the ballot. #CadaVotoCuenta…",143,0,4
2020-10-29 23:59:28,"Biden","ShalomAleichem8","Web",TRUE,"@mark_tarello: BREAKING NEWS: Court of Appeals rules Minnesota absentee ballots must be in by 8:00 PM on Election Day. #Breaking #Electi…",140,0,71
2020-10-29 23:59:25,"Biden","backboneprog","Web",TRUE,"@RTBayArea: 1000 Granmas blocking downtown Oakland, painting a giant mural for democracy. Cause, we can. #Election2020 https://t.co/9zZX…",140,0,11
2020-10-29 23:59:25,"Biden","ManuelVQZ","iPhone",TRUE,"@AntonioArellano: BREAKING: NBC moves historically-red Texas to ""tossup"" in presidential race. 

#Election2020 https://t.co/1dMFc7srvV",137,0,4858
2020-10-29 23:59:21,"Biden","jramongarciav","Android",NA,"Don't forget, on election times, is the economy! I still think #ProLife is the most important issue but, who will c… https://t.co/sSqDhvx275",140,0,0
2020-10-29 23:59:11,"Biden","Gnomes4Trump","iPhone",TRUE,"@PeterWR7: Washington State Lieutenant Governor Poll! let's see how many votes we can get! #Washington #Governor #Election2020",129,0,3
2020-10-29 23:59:11,"Biden","Zimmerson3","Android",NA,"President Trump can steal this election by rallying to a select group: the covid survivors. He knows and feels thei… https://t.co/s90gJ69q4f",140,0,0
2020-10-29 23:59:11,"Biden","kingofthistrill","iPhone",TRUE,"@AntonioArellano: BREAKING: NBC moves historically-red Texas to ""tossup"" in presidential race. 

#Election2020 https://t.co/1dMFc7srvV",137,0,4858
2020-10-29 23:59:10,"Biden","americans4hope","iPhone",NA,"“This year has been hell” yeah, and Trump is president. Why would we re-elect him for president when he is presiden… https://t.co/zJvZ74Lulj",140,0,0
2020-10-29 23:59:09,"Biden","RobinEve11","iPhone",NA,"@ddale8 I wrote this song the week before the 2016 election. I made the video this weekend. Please share!! Thank yo… https://t.co/OpBv9z2rkP",140,0,0
2020-10-29 23:59:08,"Biden","dennisfurlan","Web",NA,"Is it so hard for the #FakeNews #media to ask #JoeBiden if he met #TonyBobulinksi twice, as #Bobulinski claims? And… https://t.co/OtoQceOo37",140,0,0
2020-10-29 23:59:06,"Biden","Kirk01405395","iPhone",NA,"#ElectionInterference #MediaBias #MediaBlackout #Election2020 #DemocratsAreCorrupt #BidenHarris2020 #biden… https://t.co/egLN5x6PJF",131,0,0
2020-10-29 23:59:05,"Biden","abbyjvervaeke","Web",TRUE,"@AP_Politics: THREAD: Here’s what’s happening today in #Election2020, with FIVE days to go.

Find @AP’s full coverage here: https://t.co…",140,0,3
2020-10-29 23:59:01,"Biden","Phiberphan","iPad",TRUE,"@Rasmussen_Poll: Arizona: Trump 48%, Biden 45%... https://t.co/gJrWR4QzCN #BreakingPoll #Election2020 https://t.co/O7BdbrOunI",128,0,568
2020-10-29 23:59:00,"Biden","KinetechArts","Web",TRUE,"@kineviz: A surge in recent Twitter activity suggests an echo of 2016. 
Read our latest blog post and tune into real-time Twitter resear…",140,0,2
2020-10-29 23:58:57,"Biden","Poli_Climate","Web",NA,"Podcast host @BrandonHurlbut chats with @jonfavs at tonight's @ce4biden event! https://t.co/KbCzfImOyl

""Some Democ… https://t.co/Q6aVK84pLY",140,6,1
2020-10-29 23:58:55,"Biden","BarbaraBarrelli","Android",TRUE,"@syndrome22q1: My name  is Justin  G i have special needs called 22Q and i have officailly  #VOTED  LETS FREAKIN GET IT !
  here is my f…",140,0,71
2020-10-29 23:58:50,"Biden","AllesOverLinks","iPhone",TRUE,"@AndyOstroy: @realDonaldTrump Nope. It’s a choice between right vs wrong. Good vs evil. Democracy vs autocracy. #Vote #BIDEN #Election20…",140,0,20
2020-10-29 23:58:50,"Biden","peachiebandit","iPhone",TRUE,"@USATODAY: <U+0001F5F3> A Florida judge has resigned from Duval County’s vote-counting board after findings that he donated repeatedly to President…",140,0,130
2020-10-29 23:58:41,"Biden","Phiberphan","iPad",TRUE,"@NikkiHaley: Standing room only last night for @JohnJamesMI for Senate. A business owner, combat veteran, father, and outsider ready to…",139,0,946
2020-10-29 23:58:41,"Biden","Jessica65864285","iPhone",TRUE,"@HispanicFed: Atención #Florida: ¡Usted tiene derecho a solicitar una boleta en español en su lugar de votación! 

No deje que el idioma…",140,0,191
2020-10-29 23:58:28,"Biden","slimytonito03","iPhone",TRUE,"@AntonioArellano: BREAKING: NBC moves historically-red Texas to ""tossup"" in presidential race. 

#Election2020 https://t.co/1dMFc7srvV",137,0,4858
2020-10-29 23:58:14,"Biden","lamediard","Android",TRUE,"@DanScavino: HAPPENING NOW—TAMPA, FLORIDA! It is imperative that EVERYONE gets out to VOTE for President Trump and Vice President Pence!…",140,0,4850
2020-10-29 23:57:57,"Biden","Speedy2DaNeedy","Android",TRUE,"@kpfa: On @FlashpointsNews, we continue to speak with journalist and voter suppression expert @Greg_Palast about #Election2020 and talk…",139,0,5
2020-10-29 23:57:54,"Biden","Mile_by_Mile","Web",TRUE,"@Grav1: In a pre-election precautionary move, Walmart removes guns, ammo from its shelves ahead of Nov. 3 election. They're still availa…",140,0,196
2020-10-29 23:57:49,"Biden","KTVU","others",NA,"Contra Costa County election officials say they've identified at least 40 ballots that have been lost after they we… https://t.co/2WrvgPqHtT",140,8,8
2020-10-29 23:57:47,"Biden","Social411Now","iPhone",NA,"Debatable: The voting suppression tipping point

#Vote #Election2020 #BidenHarris2020  https://t.co/j5cPWK5DXZ",110,0,0
2020-10-29 23:57:39,"Biden","digidiggin","Web",TRUE,"@RandyDeSoto: 56 percent of Americans say they're better off now than four years ago (#COVID19 and all) for good reason: @realDonaldTrum…",140,0,12
2020-10-29 23:57:36,"Biden","RobinEve11","iPhone",NA,"@COVID19Tracking @ddale8 I wrote this song the week before the 2016 election. I made the video this weekend. Please… https://t.co/EN1FqSMWRi",140,0,0
2020-10-29 23:57:34,"Biden","Eimear_Shea","iPhone",NA,"Présidentielle américaine: ces Noirs qui votent pour Trump à contre-courant de leur communauté.  De nombreux Afro-A… https://t.co/rsz25yJZg7",140,0,0
2020-10-29 23:57:29,"Biden","cassidyhrush","iPhone",NA,"Love your country and get nice and stoned on Election Day. 

You’re welcome!

#Election2020 #ElectionDay #VOTE… https://t.co/mEcgMiLZmt",135,2,0
2020-10-29 23:57:22,"Biden","whoisme27","iPhone",TRUE,"@AntonioArellano: BREAKING: NBC moves historically-red Texas to ""tossup"" in presidential race. 

#Election2020 https://t.co/1dMFc7srvV",137,0,4858
2020-10-29 23:57:20,"Biden","jkdelprado","iPhone",TRUE,"@DanScavino: HAPPENING NOW—TAMPA, FLORIDA! It is imperative that EVERYONE gets out to VOTE for President Trump and Vice President Pence!…",140,0,4850
