"date","candidate","name","sources","isretweeted","length","favorites","retweets","economy","security","covid19","healthcare","education","race","gun","crime","abortion","immigration","climate","foreign","taxes","deficit","china","russia","fakenews","info","trust","anger","anticipation","joy","negative","positive","sadness","surprise","fear","disgust"
2020-10-27 21:32:32,"Biden","StealthMediaGuy","Web",FALSE,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-10-27 21:32:48,"Biden","kreatable","iPhone",TRUE,140,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,1,1,0,0
2020-10-27 21:32:53,"Biden","AlexisBadenMaye","Web",FALSE,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0
2020-10-27 21:32:54,"Biden","Micha_DD","iPad",FALSE,139,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
2020-10-27 21:32:57,"Biden","NewFrameInc","Web",FALSE,139,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0
2020-10-27 21:33:07,"Biden","ngaigold","iPhone",TRUE,140,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
2020-10-27 21:33:17,"Biden","carterhugo34","iPhone",TRUE,140,0,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,1,1,1,1,0
2020-10-27 21:34:02,"Biden","conserv_tribune","others",FALSE,138,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-10-27 21:34:22,"Biden","juliehudman","Web",FALSE,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
2020-10-27 21:34:26,"Biden","WitchCherokee2","Android",TRUE,140,0,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,1,1,1,1,0
2020-10-27 21:34:52,"Biden","ivorberry","others",FALSE,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
