"date","candidate","name","sources","isretweeted","length","favorites","retweets","economy","security","covid19","healthcare","education","race","gun","crime","abortion","immigration","climate","foreign","taxes","deficit","china","russia","fakenews","info","anticipation","sadness","fear","joy","positive","surprise","trust","anger","disgust","negative"
2020-10-17 18:58:10,"Biden","ionuk4","Android",TRUE,140,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2020-10-17 18:59:12,"Biden","cararuby","Web",TRUE,144,0,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0
2020-10-17 18:59:16,"Biden","ashleyyclark18","iPhone",TRUE,140,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0
2020-10-17 18:59:58,"Biden","DCglobal83","iPhone",FALSE,138,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-10-17 19:00:24,"Biden","kalmikrazy","iPhone",FALSE,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
2020-10-17 19:00:51,"Biden","NYWriterM","Web",FALSE,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2020-10-17 19:00:58,"Biden","TinTinResists","Android",FALSE,138,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
2020-10-17 19:01:02,"Biden","IslandTruth","Web",TRUE,140,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-10-17 19:01:24,"Biden","real_Pepijn","iPhone",FALSE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0
2020-10-17 19:02:19,"Biden","88SEATTLE61","Web",TRUE,140,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
2020-10-17 19:03:06,"Biden","TheRealHEELJODY","Android",FALSE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
2020-10-17 19:03:27,"Biden","Resisting_Rebel","Android",TRUE,140,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,1
2020-10-17 19:03:37,"Biden","SixViolets","iPhone",FALSE,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2020-10-17 19:04:14,"Biden","analogfriend","iPhone",FALSE,144,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,2,2,2
2020-10-17 19:04:34,"Biden","aluren1","iPhone",TRUE,140,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-10-17 19:04:48,"Biden","NinjaSloth9","Android",TRUE,140,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
2020-10-17 19:05:11,"Biden","_PoliticalJunk","Android",FALSE,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-10-17 19:06:30,"Biden","carlosbaran491","Web",FALSE,134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-10-17 19:06:38,"Biden","saritapalaciooo","iPhone",TRUE,80,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2020-10-17 19:08:41,"Biden","wtnymr10","iPhone",FALSE,130,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-10-17 19:08:45,"Biden","SLRPhillips","Web",TRUE,144,0,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0
2020-10-17 19:09:23,"Biden","raelisavitt","iPhone",TRUE,140,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,8,3,6,4,0,3
2020-10-17 19:10:55,"Biden","PerchardSarah","Android",FALSE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
2020-10-17 19:11:15,"Biden","Redwood75746520","Web",FALSE,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2020-10-17 19:11:17,"Biden","TrueBlueinAZ","iPad",FALSE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2020-10-17 19:11:34,"Biden","TheAustraliano3","Web",FALSE,137,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2020-10-17 19:11:35,"Biden","7penguins","iPad",FALSE,140,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,1,0,2
2020-10-17 19:11:37,"Biden","CUACKNewz","Web",FALSE,135,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-10-17 19:13:46,"Biden","slifox71","Android",FALSE,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
2020-10-17 19:14:12,"Biden","LisaChang35","Web",TRUE,140,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,1,3,1,0,1
2020-10-17 19:14:19,"Biden","JrPontificates","Web",TRUE,140,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,1,1,1,0,1
2020-10-17 19:16:15,"Biden","zachboone123","iPhone",TRUE,140,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
2020-10-17 19:16:19,"Biden","thepeacetweeter","Android",TRUE,140,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,1,0,0,0
2020-10-17 19:19:32,"Biden","Tony323g","Android",TRUE,144,0,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0
2020-10-17 19:19:35,"Biden","LeighPMurray","iPhone",FALSE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-10-17 19:19:58,"Biden","VinZanzi","Android",TRUE,140,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-10-17 19:21:07,"Biden","KellyMM75","iPhone",TRUE,140,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,8,3,6,4,0,3
2020-10-17 19:21:23,"Biden","QueenSully","Android",FALSE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0
2020-10-17 19:22:08,"Biden","LeighPMurray","iPhone",FALSE,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-10-17 19:22:32,"Biden","Labador90","Web",FALSE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,3,1,0,1
2020-10-17 19:22:49,"Biden","dolliod","iPhone",TRUE,144,0,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0
2020-10-17 19:23:38,"Biden","VirginieM_CA","iPhone",FALSE,139,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
2020-10-17 19:23:40,"Biden","PGclarinet","iPhone",FALSE,119,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,0,0,0,0
2020-10-17 19:23:41,"Biden","BigPixieKiss","Web",TRUE,140,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,2
2020-10-17 19:25:10,"Biden","sugars_heidi","iPhone",FALSE,140,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,4,1,0,0,0
